1--------frb30-15-mis/frb30-15-1.mis
18,20,10,5484778654,27,20,10,69648228423,
18,20,11,7966800270,27,20,11,66935205291,
18,20,12,5426631450,27,20,12,66320949240,
18,20,13,5842657130,27,20,13,66262878314,
18,20,14,6299879730,27,20,14,67240520230,
18,20,15,7734504437,27,20,15,66035617849,
18,20,16,5468337292,27,20,16,66164710507,
18,20,17,6217876238,27,20,17,67204800106,
18,20,18,6835083011,27,20,18,68079135802,
18,20,19,6832412048,27,20,19,68444753064,
18,20,20,5775739552,27,20,20,67992939950,
1--------frb35-17-mis/frb35-17-5.mis
20,5,1,68546089,36,5,1,98653756,
21,5,2,89110322,32,5,2,106123239,
19,5,3,83777471,29,5,3,128292789,
19,5,4,83987133,29,5,4,164817106,
19,5,5,84264295,29,5,5,127551812,
32,10,1,49501655,41,10,1,78152895,
27,10,2,66364680,41,10,2,77301400,
18,10,3,82729880,41,10,3,141828358,
18,10,4,82396286,28,10,4,207035537,
18,10,5,82935853,28,10,5,208624833,
18,10,6,88549110,28,10,6,207212226,
18,10,7,87067392,28,10,7,246545700,
18,10,8,84680480,28,10,8,211267166,
18,10,9,84232321,28,10,9,217215914,
18,10,10,84740775,28,10,10,228257529,
30,20,1,42462220,60,20,1,57495134,
30,20,2,42909293,60,20,2,61073747,
28,20,3,197151270,45,20,3,186452913,
18,20,4,5711138563,36,20,4,7064244271,
18,20,5,6247246586,24,20,5,43650937270,
18,20,6,5902673557,24,20,6,43519782915,
18,20,7,5687251536,24,20,7,44110275151,
18,20,8,5843399283,24,20,8,43322232745,
18,20,9,5746228567,24,20,9,43472545787,
18,20,10,6220915022,24,20,10,43285236088,
18,20,11,6008011526,24,20,11,43267752919,
18,20,12,6697574778,24,20,12,44471477013,
18,20,13,5821960716,24,20,13,43507509101,
18,20,14,6027993693,24,20,14,43546932469,
18,20,15,5824922374,24,20,15,43950528796,
18,20,16,5848945357,24,20,16,42461552237,
18,20,17,5890617371,24,20,17,42818008949,
18,20,18,6098007217,24,20,18,46422928905,
18,20,19,5916744178,24,20,19,45179169173,
18,20,20,5783926542,24,20,20,44063012779,
1--------frb40-19-mis/frb40-19-1.mis
28,5,1,98879176,41,5,1,149192684,
24,5,2,97780557,39,5,2,149284825,
20,5,3,106512752,32,5,3,171484602,
20,5,4,103059989,30,5,4,174764208,
20,5,5,103744116,30,5,5,176092635,
33,10,1,77323070,50,10,1,98426516,
28,10,2,118597679,50,10,2,95723250,
19,10,3,117507331,50,10,3,98250815,
19,10,4,119595225,35,10,4,130200152,
19,10,5,123431202,32,10,5,153715259,
19,10,6,116774276,31,10,6,166298431,
19,10,7,117809509,31,10,7,163896129,
19,10,8,130203115,31,10,8,169972802,
19,10,9,127167171,31,10,9,161538529,
19,10,10,119751890,31,10,10,162183144,
43,20,1,75378468,61,20,1,83313400,
43,20,2,81640000,61,20,2,85780718,
30,20,3,722849269,61,20,3,99532642,
19,20,4,2142241591,61,20,4,197682976,
19,20,5,2139397330,35,20,5,2560427961,
19,20,6,2065144264,35,20,6,10064879635,
19,20,7,2068965068,35,20,7,41585336517,
19,20,8,2089257670,29,20,8,115130609088,
19,20,9,2054481355,29,20,9,117455049176,
19,20,10,2058856493,29,20,10,116280474955,
19,20,11,2067736737,29,20,11,115970375412,
19,20,12,2097828782,29,20,12,112613629629,
19,20,13,2100199921,29,20,13,113822912239,
19,20,14,2073032449,29,20,14,112488087795,
19,20,15,2085576610,29,20,15,112435032644,
19,20,16,2094703779,29,20,16,112831581961,
19,20,17,2051499480,29,20,17,111956713250,
19,20,18,2104309343,29,20,18,111148788115,
19,20,19,2069938710,29,20,19,111637279935,
19,20,20,2173424484,29,20,20,116611475207,
1--------frb40-19-mis/frb40-19-2.mis
42,5,1,159448528,25,5,1,95691862,
37,5,2,171066068,24,5,2,127282807,
35,5,3,194093708,22,5,3,131046529,
35,5,4,193483861,22,5,4,127122694,
35,5,5,197004847,22,5,5,127569612,
51,10,1,103626043,40,10,1,71862568,
44,10,2,119401345,27,10,2,110051316,
44,10,3,115236110,26,10,3,147947302,
36,10,4,169134456,21,10,4,175412528,
34,10,5,267325741,21,10,5,168632223,
34,10,6,268652035,21,10,6,166959525,
34,10,7,265945722,21,10,7,166385280,
34,10,8,270117546,21,10,8,168211964,
34,10,9,270158433,21,10,9,208488249,
34,10,10,287009236,21,10,10,247663119,
80,20,1,89708932,58,20,1,70859389,
63,20,2,114369267,58,20,2,71898017,
63,20,3,131498755,45,20,3,178154218,
47,20,4,318354370,21,20,4,8860893026,
32,20,5,95455984747,21,20,5,8550184900,
32,20,6,95168224332,21,20,6,8748721894,
32,20,7,94577701589,21,20,7,8649344164,
32,20,8,94808406932,21,20,8,8661774870,
32,20,9,95290067106,21,20,9,8546566492,
32,20,10,94105786725,21,20,10,8713913621,
32,20,11,94516080031,21,20,11,8329731130,
32,20,12,94709852233,21,20,12,8327702489,
32,20,13,94921596178,21,20,13,8366151875,
32,20,14,94570119180,21,20,14,8300677137,
32,20,15,94364831241,21,20,15,8325694700,
32,20,16,94376121211,21,20,16,8392738778,
32,20,17,94571365837,21,20,17,8310721340,
32,20,18,94573866147,21,20,18,8420991787,
32,20,19,94565883015,21,20,19,8391086222,
32,20,20,94891029550,21,20,20,8294361318,
1--------frb40-19-mis/frb40-19-3.mis
46,5,1,140080041,32,5,1,117869641,
36,5,2,208050308,25,5,2,140919153,
34,5,3,181486033,23,5,3,142011574,
33,5,4,177138111,23,5,4,145926385,
33,5,5,183273057,23,5,5,140050482,
50,10,1,92814977,39,10,1,81395337,
50,10,2,92437059,31,10,2,85893126,
41,10,3,139663395,32,10,3,121401908,
33,10,4,209621388,25,10,4,172554560,
33,10,5,244381595,25,10,5,179882546,
32,10,6,288946076,25,10,6,178482649,
32,10,7,289474902,25,10,7,171026289,
32,10,8,281417864,25,10,8,167966478,
32,10,9,306949292,25,10,9,171613240,
32,10,10,288879350,25,10,10,178799196,
